,UserName,UserOrderRate,tradeMonthCount,price,coinId,CurrencyId=Rub,MinLimit,MaxLimit,TradeQuantity,payMethod,UserNumber
0,Акция1Рубль,100,16,1.00,2,11,1.0,1.0,17.000000,Tinkoff,451963908
1,RengalTrade,100,31,90.65,2,11,30000.0,103000.0,1149.933577,Tinkoff,450458866
2,lokko99,100,129,90.68,2,11,20000.0,298113.0,3287.537677,Bank Transfer,400035544
3,Knopka_Trade,98,474,90.69,2,11,10000.0,225000.0,2483.842138,Bank Transfer,376406931
4,ainurik97,93,184,90.70,2,11,15000.0,104000.0,1146.905300,Sberbank,272047619
5,olympe,100,5,90.70,2,11,500.0,624.0,6.887176,Tinkoff,432864502
6,Bagatar,97,105,90.73,2,11,30000.0,220000.0,2430.843087,Sberbank,405495689
7,добрый1111,98,330,90.73,2,11,10000.0,59229.0,652.807938,Tinkoff,437753353
8,Knopka_Trade,98,474,90.74,2,11,10000.0,225000.0,2483.842138,Tinkoff,376406931
9,nickbancirev,98,704,90.74,2,11,10000.0,386704.0,4261.677671,Tinkoff,388933160
